instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions totalcoefs avgcoefs maxcoefs
cyclicnh4 classical 14 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 17 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 26 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
katsuranh4 classical 2 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 15 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 18 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 16 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 3 perturbation 0.09 0.07 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 19 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh4 classical 17 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 4 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicn4 classical 20 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh5 classical 27 perturbation 0.23 0.15 0.13 0.01 0.05 12 171 7 32 16 39 3.00 6
cyclicnh4 classical 18 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 21 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 5 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 19 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 22 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
katsuranh4 classical 6 perturbation 0.09 0.06 0.06 0.00 0.01 7 50 4 12 5 480 68.00 259
cyclicnh4 classical 20 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicn4 classical 23 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
cyclicnh6 classical 24 perturbation 1.88 0.59 0.50 0.05 1.18 34 1540 9 101 66 229 6.00 18
cyclicnh4 classical 21 random 0.07 0.05 0.04 0.00 0.00 7 30 6 12 5 15 2.00 3
