instance reducer rep algorithm time dynamic heuristic queue reduction polynomials monomials degree sreductions zeroreductions
sendrah F4 7 random 0.05 0.03 0.02 0.00 0.02 5 171 13 108 2
sendrah F4 8 random 0.03 0.03 0.03 0.00 0.00 2 26 7 20 1
sendrah F4 9 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 10 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 11 random 0.08 0.03 0.03 0.00 0.04 13 557 17 200 10
sendrah F4 12 random 0.05 0.03 0.02 0.00 0.02 5 171 13 108 2
sendrah F4 13 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 14 random 0.07 0.03 0.02 0.00 0.03 10 416 15 153 7
sendrah F4 15 random 0.07 0.03 0.02 0.00 0.03 10 416 15 153 7
sendrah F4 16 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 17 random 0.06 0.03 0.03 0.00 0.03 8 312 15 143 5
sendrah F4 18 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 19 random 0.04 0.03 0.03 0.00 0.00 2 26 7 20 1
sendrah F4 20 random 0.07 0.03 0.03 0.00 0.03 8 312 15 143 5
sendrah F4 21 random 0.03 0.03 0.03 0.00 0.00 2 26 7 20 1
sendrah F4 22 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 23 random 0.08 0.03 0.03 0.00 0.04 11 457 17 196 8
sendrah F4 24 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 25 random 0.03 0.03 0.02 0.00 0.00 2 26 7 20 1
sendrah F4 26 random 0.04 0.03 0.03 0.00 0.00 2 26 7 20 1
sendrah F4 27 random 0.07 0.03 0.03 0.00 0.03 6 217 14 134 3
sendrah F4 28 random 0.85 0.12 0.10 0.04 0.63 11 457 17 1630 139
sendrah F4 29 random 0.04 0.03 0.03 0.00 0.00 2 26 7 20 1
sendrah classical 0 localsearch 0.09 0.09 0.06 0.00 0.00 2 26 7 2 0
sendrah F4 0 localsearch 0.90 0.87 0.67 0.00 0.01 7 221 14 66 2
econh7 F4 0 caboara-perry 4.25 2.56 1.11 0.10 1.52 79 2179 18 3449 320
cyclicnh6 classical 0 static 2.16 0.00 0.00 0.13 1.97 99 3502 15 389 290
cyclicnh6 F4 0 static 0.62 0.00 0.00 0.09 0.47 99 3502 15 1344 386
cyclicnh6 classical 0 caboara-perry 1.30 0.65 0.40 0.06 0.53 48 2580 14 153 105
cyclicnh6 F4 0 caboara-perry 2.68 2.15 0.94 0.02 0.47 43 2112 12 899 92
cyclicnh6 classical 0 perturbation 0.51 0.29 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 1 perturbation 0.54 0.30 0.26 0.02 0.20 34 1540 9 101 66
cyclicnh6 classical 2 perturbation 0.53 0.30 0.26 0.02 0.19 34 1540 9 101 66
cyclicnh6 classical 3 perturbation 0.52 0.30 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 4 perturbation 0.52 0.30 0.27 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 5 perturbation 0.51 0.29 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 6 perturbation 0.52 0.29 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 7 perturbation 0.53 0.30 0.27 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 8 perturbation 0.51 0.29 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 9 perturbation 0.50 0.28 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 10 perturbation 0.52 0.30 0.27 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 11 perturbation 0.53 0.30 0.26 0.02 0.19 34 1540 9 101 66
cyclicnh6 classical 12 perturbation 0.51 0.29 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 13 perturbation 0.50 0.28 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 14 perturbation 0.50 0.28 0.25 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 15 perturbation 0.52 0.29 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 16 perturbation 0.50 0.27 0.24 0.02 0.19 34 1540 9 101 66
cyclicnh6 classical 17 perturbation 0.50 0.27 0.24 0.02 0.19 34 1540 9 101 66
cyclicnh6 classical 18 perturbation 0.51 0.29 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 19 perturbation 0.55 0.32 0.28 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 20 perturbation 0.53 0.31 0.28 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 21 perturbation 0.51 0.29 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 22 perturbation 0.52 0.30 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 23 perturbation 0.52 0.30 0.26 0.02 0.18 34 1540 9 101 66
cyclicnh6 classical 24 perturbation 0.49 0.27 0.24 0.02 0.19 34 1540 9 101 66
